t,f(t)
1688,2.2876325555619341616008352080001761145210542756246E-11
1692,2.3381831625522330020038106788403783511802442147250E-11
1696,2.3896045400343531888014417400166403975880911513152E-11
1700,2.4419069019585880297340133002389072309744211430780E-11
1704,2.4951005104588789418124512819165752304641160009381E-11
1708,2.5491956753122269442411836893631125333902788306147E-11
1712,2.6042027533940644006700321210807903014437083869615E-11
1716,2.6601321481297064958648957921603367289893712283439E-11
1720,2.7169943089420014935970933263954235095987282825949E-11
1724,2.7747997306952983543718498293144373434456748806324E-11
1728,2.8335589531358497943392611347817510318151447576588E-11
1732,2.8932825603287683411423087455668764345844819277365E-11
1736,2.9539811800916523893364854913260053423855462241511E-11
1740,3.0156654834249986781385581255308302764639895267505E-11
1744,3.0783461839395170083957895638620212447515462050640E-11
1748,3.1420340372804623845727787519453663787539918813568E-11
1752,3.2067398405490991119852721383015984451051843646932E-11
1756,3.2724744317214107002160611049244199657355243974660E-11
1760,3.3392486890641687213672710164577041160903166314815E-11
1764,3.4070735305484730472682926119372618202083687338289E-11
1768,3.4759599132608751436938898489925408114483691908568E-11
1772,3.5459188328121953327693035426506326301634620563750E-11
1776,3.6169613227441441477570283463272649693217577688842E-11
1780,3.6890984539338570980336903204314897095769989526548E-11
1784,3.7623413339964513369670100677661599463972314739714E-11
1788,3.8367011066857118822755779331883412286779974116177E-11
1792,3.9121889512930141779727994596655695107183907267145E-11
1796,3.9888160820445889098268096061661555477869472759512E-11
1800,4.0665937474972340930674247483203670694977991258824E-11
1804,4.1455332299325785424873274183499978016791128150423E-11
1808,4.2256458447499999117565985652631610398166965154856E-11
1812,4.3069429398582995513271960154147886601738828073672E-11
1816,4.3894358950662354833675547336063678791965525822764E-11
1820,4.4731361214720138283483774879489399504202264047066E-11
1824,4.5580550608518380418007541881978059187923869030393E-11
1828,4.6442041850476143319794437875979484455990527082908E-11
1832,4.7315949953539106302704709379575797243156666441252E-11
1836,4.8202390219042654767566407351203211959488812069752E-11
1840,4.9101478230569421639611555424077735670738925783562E-11
1844,5.0013329847802224529826910122231426341200184147498E-11
1848,5.0938061200373331385599697369294269283119743659145E-11
1852,5.1875788681710976935954215765177331534140499521099E-11
1856,5.2826628942884041698517449970966441164551354026656E-11
1860,5.3790698886445794704283379863572412693193975255625E-11
1864,5.4768115660277590417333637960311496973018995116434E-11
1868,5.5758996651433399584888443836317215061219761423309E-11
1872,5.6763459479986042953283174218753713633598553903095E-11
1876,5.7781621992875985932474574774225910395695362810566E-11
1880,5.8813602257763541390164075091907134577973570009046E-11
1884,5.9859518556885316811177403900582934501565607885875E-11
1888,6.0919489380915731072859468268473939109421609816765E-11
1892,6.1993633422834415067337729145402409948485590779111E-11
1896,6.3082069571800299350889747211926587453051055139074E-11
1900,6.4184916907033180923542578421330979385831347432535E-11
1904,6.5302294691703550142562934586117004824044137938754E-11
1908,6.6434322366831447655706024779982804605627161286109E-11
1912,6.7581119545195110107925783976141724974822739755072E-11
1916,6.8742806005250152232567950326887528917267645890897E-11
1920,6.9919501685060021788639180869707855666310435063388E-11
1924,7.1111326676238452653250656489160513067479341652313E-11
1928,7.2318401217904630226366272487768168044536775858692E-11
1932,7.3540845690651772157049453454766166290503518786961E-11
1936,7.4778780610529816259918635264311844375903695097636E-11
1940,7.6032326623042896360823955580555908010422612408413E-11
1944,7.7301604497162275695096623755427032013955609001612E-11
1948,7.8586735119355396383264098470477060535483483702169E-11
1952,7.9887839487631692430952119621354522137552897556612E-11
1956,8.1205038705605802644810481102090736990078943328354E-11
1960,8.2538453976578808827623892496126388322282394925084E-11
1964,8.3888206597638113616143021694384274410271278354317E-11
1968,8.5254417953776561357355399406157202022979945861262E-11
1972,8.6637209512031394485594714931859117110043963092488E-11
1976,8.8036702815643626966666370562342549109577483042307E-11
1980,8.9453019478238405518577009508448911860582370570363E-11
1984,9.0886281178026918503950883176480304385366102643558E-11
1988,9.2336609652030401619176938547710279356531153357108E-11
1992,9.3804126690326778782064713776301103951505759510128E-11
1996,9.5288954130320465945529633942365883540068774011135E-11
2000,9.6791213851035854941742993019121130115390541108077E-11
2004,9.8311027767434983891362495587946278974958399191640E-11
2008,9.9848517824759890197930248882434264060694266334798E-11
2012,1.0140380599290013169024293942051814673549968167456E-10
2016,1.0297701426078595107735288732710740198857197865283E-10
2020,1.0456826463080754854367195834264055443084003231430E-10
2024,1.0617767911326091703718110009538643343386333665834E-10
2028,1.0780537972082068459369072114423345713263681734370E-10
2032,1.0945148846304039789608244371485981170409309050298E-10
2036,1.1111612734088067119106019362589818620644399721696E-10
2040,1.1279941834126561467865650185707334137333773811739E-10
2044,1.1450148343166794655302677075191225005755470537012E-10
2048,1.1622244455472318300830975443075566443137466332429E-10
2052,1.1796242362287329073186845691845033350694608641514E-10
2056,1.1972154251304017669032711531630241323118304706769E-10
2060,1.2149992306132938037270619559500034863628915118460E-10
2064,1.2329768705776432409079292233963683245071833059702E-10
2068,1.2511495624105146745078059068598262894694272932467E-10
2072,1.2695185229337670270322383794848900641958402394074E-10
2076,1.2880849683523331835149552438803488042922832392702E-10
2080,1.3068501142028184915314949444955122721842404069486E-10
2084,1.3258151753024212148479812539846518985847244170342E-10
2088,1.3449813656981779396016132302246499483419547801699E-10
2092,1.3643498986165368419364381326688104731510413846828E-10
2096,1.3839219864132616368891270867429394757534628262710E-10
2100,1.4036988405236689400419405030336355537886571348947E-10
